[3259] Genel Hata: invalid color argument
[2357] Genel Hata: 'NoneType' object is not subscriptable
[2413] Genel Hata: 'NoneType' object is not subscriptable
[23677] Genel Hata: invalid color argument
[24260] Genel Hata: invalid color argument
[23081] Genel Hata: invalid color argument
[20294] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[17604] Genel Hata: 'username'
[23502] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[18521] Genel Hata: 'username'
[164212] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[164400] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[164570] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[164737] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[164920] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[165104] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[165288] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[165455] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[165622] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[165787] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[165925] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[166107] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[166244] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[166443] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[166580] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[166749] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[199605] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[199991] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[200263] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[200430] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[200835] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[201039] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[201157] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[201340] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[216176] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[216648] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[216915] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[217099] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[217311] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[217530] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[217714] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[217883] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[218080] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[218299] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[218467] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[218634] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[223813] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[224148] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[224312] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[224477] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[224861] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[225061] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[225245] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[225397] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[225617] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[225783] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[225980] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[226183] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[226333] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[226485] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[226833] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[227001] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[227147] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[233750] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[233918] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
